0       <= x <     630; y_0     =        82.11 +     -0.000611x; Linear Approximation
2130.0  <= x <  2160.0; y_71    =      -146.00 +      0.100000x; Piecewise Interpolation
2160.0  <= x <  2190.0; y_72    =       142.00 +     -0.033333x; Piecewise Interpolation
2190.0  <= x <  2220.0; y_73    =     -1318.00 +      0.633333x; Piecewise Interpolation
2220.0  <= x <  2250.0; y_74    =        88.00 +      0.000000x; Piecewise Interpolation
2250.0  <= x <  2280.0; y_75    =      1588.00 +     -0.666667x; Piecewise Interpolation
2280.0  <= x <  2310.0; y_76    =        -8.00 +      0.033333x; Piecewise Interpolation
2310.0  <= x <  2340.0; y_77    =       223.00 +     -0.066667x; Piecewise Interpolation
2340.0  <= x <  2370.0; y_78    =      -947.00 +      0.433333x; Piecewise Interpolation
2370.0  <= x <  2400.0; y_79    =      -394.00 +      0.200000x; Piecewise Interpolation
2400.0  <= x <  2430.0; y_80    =      1286.00 +     -0.500000x; Piecewise Interpolation
2430.0  <= x <  2460.0; y_81    =     -1306.00 +      0.566667x; Piecewise Interpolation
2460.0  <= x <  2490.0; y_82    =       170.00 +     -0.033333x; Piecewise Interpolation
2490.0  <= x <  2520.0; y_83    =       170.00 +     -0.033333x; Piecewise Interpolation
2520.0  <= x <  2550.0; y_84    =       338.00 +     -0.100000x; Piecewise Interpolation
2550.0  <= x <  2580.0; y_85    =      -172.00 +      0.100000x; Piecewise Interpolation
2580.0  <= x <  2610.0; y_86    =      1376.00 +     -0.500000x; Piecewise Interpolation
2610.0  <= x <  2640.0; y_87    =     -1321.00 +      0.533333x; Piecewise Interpolation
2640.0  <= x <  2670.0; y_88    =       527.00 +     -0.166667x; Piecewise Interpolation
2670.0  <= x <  2700.0; y_89    =      -452.00 +      0.200000x; Piecewise Interpolation
2700.0  <= x <  2730.0; y_90    =       448.00 +     -0.133333x; Piecewise Interpolation
2730.0  <= x <  2760.0; y_91    =      1540.00 +     -0.533333x; Piecewise Interpolation
2760.0  <= x <  2790.0; y_92    =     -1588.00 +      0.600000x; Piecewise Interpolation
2790.0  <= x <  2820.0; y_93    =      1760.00 +     -0.600000x; Piecewise Interpolation
2820.0  <= x <  2850.0; y_94    =     -1718.00 +      0.633333x; Piecewise Interpolation
2850.0  <= x <  2880.0; y_95    =      1797.00 +     -0.600000x; Piecewise Interpolation
2880.0  <= x <  2910.0; y_96    =       -27.00 +      0.033333x; Piecewise Interpolation
2910.0  <= x <  2940.0; y_97    =       167.00 +     -0.033333x; Piecewise Interpolation
2940.0  <= x <  2970.0; y_98    =       -29.00 +      0.033333x; Piecewise Interpolation
