0       <= x <     630; y_0     =        82.11 +     -0.000611x; Linear Approximation
9150.0  <= x <  9180.0; y_305   =      3742.00 +     -0.400000x; Piecewise Interpolation
9180.0  <= x <  9210.0; y_306   =     -5132.00 +      0.566667x; Piecewise Interpolation
9210.0  <= x <  9240.0; y_307   =      7148.00 +     -0.766667x; Piecewise Interpolation
9240.0  <= x <  9270.0; y_308   =     -5788.00 +      0.633333x; Piecewise Interpolation
9270.0  <= x <  9300.0; y_309   =        83.00 +      0.000000x; Piecewise Interpolation
9300.0  <= x <  9330.0; y_310   =      -847.00 +      0.100000x; Piecewise Interpolation
9330.0  <= x <  9360.0; y_311   =       708.00 +     -0.066667x; Piecewise Interpolation
9360.0  <= x <  9390.0; y_312   =        84.00 +      0.000000x; Piecewise Interpolation
9390.0  <= x <  9420.0; y_313   =      4779.00 +     -0.500000x; Piecewise Interpolation
9420.0  <= x <  9450.0; y_314   =     -5897.00 +      0.633333x; Piecewise Interpolation
9450.0  <= x <  9480.0; y_315   =      1978.00 +     -0.200000x; Piecewise Interpolation
9480.0  <= x <  9510.0; y_316   =     -1814.00 +      0.200000x; Piecewise Interpolation
9510.0  <= x <  9540.0; y_317   =      2624.00 +     -0.266667x; Piecewise Interpolation
9540.0  <= x <  9570.0; y_318   =     -1192.00 +      0.133333x; Piecewise Interpolation
9570.0  <= x <  9600.0; y_319   =     -1511.00 +      0.166667x; Piecewise Interpolation
9600.0  <= x <  9630.0; y_320   =      3289.00 +     -0.333333x; Piecewise Interpolation
9630.0  <= x <  9660.0; y_321   =     -3452.00 +      0.366667x; Piecewise Interpolation
9660.0  <= x <  9690.0; y_322   =      1056.00 +     -0.100000x; Piecewise Interpolation
9690.0  <= x <  9720.0; y_323   =      5901.00 +     -0.600000x; Piecewise Interpolation
9720.0  <= x <  9750.0; y_324   =     -1227.00 +      0.133333x; Piecewise Interpolation
9750.0  <= x <  9780.0; y_325   =      1048.00 +     -0.100000x; Piecewise Interpolation
9780.0  <= x <  9810.0; y_326   =      -908.00 +      0.100000x; Piecewise Interpolation
9810.0  <= x <  9840.0; y_327   =     -5159.00 +      0.533333x; Piecewise Interpolation
9840.0  <= x <  9870.0; y_328   =      5337.00 +     -0.533333x; Piecewise Interpolation
9870.0  <= x <  9900.0; y_329   =      1060.00 +     -0.100000x; Piecewise Interpolation
9900.0  <= x <  9930.0; y_330   =     -1250.00 +      0.133333x; Piecewise Interpolation
9930.0  <= x <  9960.0; y_331   =     -2905.00 +      0.300000x; Piecewise Interpolation
9960.0  <= x <  9990.0; y_332   =      4067.00 +     -0.400000x; Piecewise Interpolation
9990.0  <= x < 10020.0; y_333   =     -5257.00 +      0.533333x; Piecewise Interpolation
10020.0 <= x < 10050.0; y_334   =      5097.00 +     -0.500000x; Piecewise Interpolation
10050.0 <= x < 10080.0; y_335   =       742.00 +     -0.066667x; Piecewise Interpolation
10080.0 <= x < 10110.0; y_336   =     -3290.00 +      0.333333x; Piecewise Interpolation
10110.0 <= x < 10140.0; y_337   =     -1942.00 +      0.200000x; Piecewise Interpolation
10140.0 <= x < 10170.0; y_338   =      3466.00 +     -0.333333x; Piecewise Interpolation
10170.0 <= x < 10200.0; y_339   =     -3992.00 +      0.400000x; Piecewise Interpolation
10200.0 <= x < 10230.0; y_340   =      2808.00 +     -0.266667x; Piecewise Interpolation
10230.0 <= x < 10260.0; y_341   =     -3330.00 +      0.333333x; Piecewise Interpolation
10260.0 <= x < 10290.0; y_342   =      4536.00 +     -0.433333x; Piecewise Interpolation
10290.0 <= x < 10320.0; y_343   =     -3696.00 +      0.366667x; Piecewise Interpolation
10320.0 <= x < 10350.0; y_344   =      2840.00 +     -0.266667x; Piecewise Interpolation
10350.0 <= x < 10380.0; y_345   =      3530.00 +     -0.333333x; Piecewise Interpolation
10380.0 <= x < 10410.0; y_346   =       416.00 +     -0.033333x; Piecewise Interpolation
10410.0 <= x < 10440.0; y_347   =     -6871.00 +      0.666667x; Piecewise Interpolation
10440.0 <= x < 10470.0; y_348   =      7049.00 +     -0.666667x; Piecewise Interpolation
10470.0 <= x < 10500.0; y_349   =       767.00 +     -0.066667x; Piecewise Interpolation
10500.0 <= x < 10530.0; y_350   =     -7633.00 +      0.733333x; Piecewise Interpolation
10530.0 <= x < 10560.0; y_351   =      6758.00 +     -0.633333x; Piecewise Interpolation
10560.0 <= x < 10590.0; y_352   =       774.00 +     -0.066667x; Piecewise Interpolation
10590.0 <= x < 10620.0; y_353   =      -285.00 +      0.033333x; Piecewise Interpolation
10620.0 <= x < 10650.0; y_354   =     -8073.00 +      0.766667x; Piecewise Interpolation
10650.0 <= x < 10680.0; y_355   =      3287.00 +     -0.300000x; Piecewise Interpolation
10680.0 <= x < 10710.0; y_356   =      -273.00 +      0.033333x; Piecewise Interpolation
10710.0 <= x < 10740.0; y_357   =      4725.00 +     -0.433333x; Piecewise Interpolation
10740.0 <= x < 10770.0; y_358   =      1503.00 +     -0.133333x; Piecewise Interpolation
10770.0 <= x < 10800.0; y_359   =     -7831.00 +      0.733333x; Piecewise Interpolation
10800.0 <= x < 10830.0; y_360   =       449.00 +     -0.033333x; Piecewise Interpolation
10830.0 <= x < 10860.0; y_361   =      6586.00 +     -0.600000x; Piecewise Interpolation
10860.0 <= x < 10890.0; y_362   =       432.00 +     -0.033333x; Piecewise Interpolation
10890.0 <= x < 10920.0; y_363   =       432.00 +     -0.033333x; Piecewise Interpolation
10920.0 <= x < 10950.0; y_364   =     -6120.00 +      0.566667x; Piecewise Interpolation
10950.0 <= x < 10980.0; y_365   =      5560.00 +     -0.500000x; Piecewise Interpolation
10980.0 <= x < 11010.0; y_366   =     -6518.00 +      0.600000x; Piecewise Interpolation
11010.0 <= x < 11040.0; y_367   =      1189.00 +     -0.100000x; Piecewise Interpolation
11040.0 <= x < 11070.0; y_368   =      7077.00 +     -0.633333x; Piecewise Interpolation
11070.0 <= x < 11100.0; y_369   =     -1041.00 +      0.100000x; Piecewise Interpolation
11100.0 <= x < 11130.0; y_370   =     -4741.00 +      0.433333x; Piecewise Interpolation
11130.0 <= x < 11160.0; y_371   =        82.00 +      0.000000x; Piecewise Interpolation
11160.0 <= x < 11190.0; y_372   =     -1034.00 +      0.100000x; Piecewise Interpolation
11190.0 <= x < 11220.0; y_373   =      -661.00 +      0.066667x; Piecewise Interpolation
11220.0 <= x < 11250.0; y_374   =      7567.00 +     -0.666667x; Piecewise Interpolation
11250.0 <= x < 11280.0; y_375   =     -7808.00 +      0.700000x; Piecewise Interpolation
11280.0 <= x < 11310.0; y_376   =      7608.00 +     -0.666667x; Piecewise Interpolation
11310.0 <= x < 11340.0; y_377   =      -309.00 +      0.033333x; Piecewise Interpolation
11340.0 <= x < 11370.0; y_378   =       447.00 +     -0.033333x; Piecewise Interpolation
11370.0 <= x < 11400.0; y_379   =     -6754.00 +      0.600000x; Piecewise Interpolation
11400.0 <= x < 11430.0; y_380   =      -294.00 +      0.033333x; Piecewise Interpolation
11430.0 <= x < 11460.0; y_381   =       468.00 +     -0.033333x; Piecewise Interpolation
11460.0 <= x < 11490.0; y_382   =      7344.00 +     -0.633333x; Piecewise Interpolation
11490.0 <= x < 11520.0; y_383   =     -6827.00 +      0.600000x; Piecewise Interpolation
11520.0 <= x < 11550.0; y_384   =     -1451.00 +      0.133333x; Piecewise Interpolation
11550.0 <= x < 11580.0; y_385   =      3169.00 +     -0.266667x; Piecewise Interpolation
11580.0 <= x < 11610.0; y_386   =      -691.00 +      0.066667x; Piecewise Interpolation
11610.0 <= x < 11640.0; y_387   =     -1078.00 +      0.100000x; Piecewise Interpolation
11640.0 <= x < 11670.0; y_388   =      -302.00 +      0.033333x; Piecewise Interpolation
11670.0 <= x < 11700.0; y_389   =        87.00 +      0.000000x; Piecewise Interpolation
11700.0 <= x < 11730.0; y_390   =      4377.00 +     -0.366667x; Piecewise Interpolation
11730.0 <= x < 11760.0; y_391   =      1249.00 +     -0.100000x; Piecewise Interpolation
11760.0 <= x < 11790.0; y_392   =     -5807.00 +      0.500000x; Piecewise Interpolation
11790.0 <= x < 11820.0; y_393   =      1267.00 +     -0.100000x; Piecewise Interpolation
11820.0 <= x < 11850.0; y_394   =      6783.00 +     -0.566667x; Piecewise Interpolation
11850.0 <= x < 11880.0; y_395   =     -1117.00 +      0.100000x; Piecewise Interpolation
11880.0 <= x < 11910.0; y_396   =     -4285.00 +      0.366667x; Piecewise Interpolation
11910.0 <= x < 11940.0; y_397   =      4052.00 +     -0.333333x; Piecewise Interpolation
11940.0 <= x < 11970.0; y_398   =      1664.00 +     -0.133333x; Piecewise Interpolation
11970.0 <= x < 12000.0; y_399   =     -1129.00 +      0.100000x; Piecewise Interpolation
12000.0 <= x < 12030.0; y_400   =     -6329.00 +      0.533333x; Piecewise Interpolation
12030.0 <= x < 12060.0; y_401   =      1691.00 +     -0.133333x; Piecewise Interpolation
12060.0 <= x < 12090.0; y_402   =       485.00 +     -0.033333x; Piecewise Interpolation
12090.0 <= x < 12120.0; y_403   =     -1127.00 +      0.100000x; Piecewise Interpolation
12120.0 <= x < 12150.0; y_404   =      6145.00 +     -0.500000x; Piecewise Interpolation
12150.0 <= x < 12180.0; y_405   =      -740.00 +      0.066667x; Piecewise Interpolation
12180.0 <= x < 12210.0; y_406   =     -6424.00 +      0.533333x; Piecewise Interpolation
12210.0 <= x < 12240.0; y_407   =      7007.00 +     -0.566667x; Piecewise Interpolation
12240.0 <= x < 12270.0; y_408   =     -6865.00 +      0.566667x; Piecewise Interpolation
12270.0 <= x < 12300.0; y_409   =      6632.00 +     -0.533333x; Piecewise Interpolation
12300.0 <= x < 12330.0; y_410   =     -5258.00 +      0.433333x; Piecewise Interpolation
12330.0 <= x < 12360.0; y_411   =      5839.00 +     -0.466667x; Piecewise Interpolation
12360.0 <= x < 12390.0; y_412   =     -6933.00 +      0.566667x; Piecewise Interpolation
12390.0 <= x < 12420.0; y_413   =      6696.00 +     -0.533333x; Piecewise Interpolation
12420.0 <= x < 12450.0; y_414   =      1728.00 +     -0.133333x; Piecewise Interpolation
12450.0 <= x < 12480.0; y_415   =     -9062.00 +      0.733333x; Piecewise Interpolation
12480.0 <= x < 12510.0; y_416   =      8826.00 +     -0.700000x; Piecewise Interpolation
12510.0 <= x < 12540.0; y_417   =     -6186.00 +      0.500000x; Piecewise Interpolation
12540.0 <= x < 12570.0; y_418   =      8862.00 +     -0.700000x; Piecewise Interpolation
12570.0 <= x < 12600.0; y_419   =     -4127.00 +      0.333333x; Piecewise Interpolation
12600.0 <= x < 12630.0; y_420   =     -6227.00 +      0.500000x; Piecewise Interpolation
12630.0 <= x < 12660.0; y_421   =      5140.00 +     -0.400000x; Piecewise Interpolation
12660.0 <= x < 12690.0; y_422   =     -4988.00 +      0.400000x; Piecewise Interpolation
12690.0 <= x < 12720.0; y_423   =      1780.00 +     -0.133333x; Piecewise Interpolation
12720.0 <= x < 12750.0; y_424   =       932.00 +     -0.066667x; Piecewise Interpolation
12750.0 <= x < 12780.0; y_425   =      4757.00 +     -0.366667x; Piecewise Interpolation
12780.0 <= x < 12810.0; y_426   =      3905.00 +     -0.300000x; Piecewise Interpolation
12810.0 <= x < 12840.0; y_427   =     -9759.00 +      0.766667x; Piecewise Interpolation
12840.0 <= x < 12870.0; y_428   =      1797.00 +     -0.133333x; Piecewise Interpolation
12870.0 <= x < 12900.0; y_429   =     -2922.00 +      0.233333x; Piecewise Interpolation
12900.0 <= x < 12930.0; y_430   =      3528.00 +     -0.266667x; Piecewise Interpolation
12930.0 <= x < 12960.0; y_431   =     -1644.00 +      0.133333x; Piecewise Interpolation
12960.0 <= x < 12990.0; y_432   =      6564.00 +     -0.500000x; Piecewise Interpolation
12990.0 <= x < 13020.0; y_433   =      -797.00 +      0.066667x; Piecewise Interpolation
13020.0 <= x < 13050.0; y_434   =      1807.00 +     -0.133333x; Piecewise Interpolation
13050.0 <= x < 13080.0; y_435   =     -2978.00 +      0.233333x; Piecewise Interpolation
13080.0 <= x < 13110.0; y_436   =      3998.00 +     -0.300000x; Piecewise Interpolation
13110.0 <= x < 13140.0; y_437   =     -2994.00 +      0.233333x; Piecewise Interpolation
13140.0 <= x < 13170.0; y_438   =     -6936.00 +      0.533333x; Piecewise Interpolation
13170.0 <= x < 13200.0; y_439   =      -790.00 +      0.066667x; Piecewise Interpolation
13200.0 <= x < 13230.0; y_440   =      2290.00 +     -0.166667x; Piecewise Interpolation
13230.0 <= x < 13260.0; y_441   =      1849.00 +     -0.133333x; Piecewise Interpolation
13260.0 <= x < 13290.0; y_442   =     -2571.00 +      0.200000x; Piecewise Interpolation
13290.0 <= x < 13320.0; y_443   =      7175.00 +     -0.533333x; Piecewise Interpolation
13320.0 <= x < 13350.0; y_444   =       959.00 +     -0.066667x; Piecewise Interpolation
13350.0 <= x < 13380.0; y_445   =      -821.00 +      0.066667x; Piecewise Interpolation
13380.0 <= x < 13410.0; y_446   =       517.00 +     -0.033333x; Piecewise Interpolation
13410.0 <= x < 13440.0; y_447   =     -5741.00 +      0.433333x; Piecewise Interpolation
13440.0 <= x < 13470.0; y_448   =      5907.00 +     -0.433333x; Piecewise Interpolation
13470.0 <= x < 13500.0; y_449   =     -1726.00 +      0.133333x; Piecewise Interpolation
13500.0 <= x < 13530.0; y_450   =     -5776.00 +      0.433333x; Piecewise Interpolation
13530.0 <= x < 13560.0; y_451   =      2342.00 +     -0.166667x; Piecewise Interpolation
13560.0 <= x < 13590.0; y_452   =      5506.00 +     -0.400000x; Piecewise Interpolation
13590.0 <= x < 13620.0; y_453   =     -1289.00 +      0.100000x; Piecewise Interpolation
13620.0 <= x < 13650.0; y_454   =      2343.00 +     -0.166667x; Piecewise Interpolation
13650.0 <= x < 13680.0; y_455   =     -6757.00 +      0.500000x; Piecewise Interpolation
13680.0 <= x < 13710.0; y_456   =      6467.00 +     -0.466667x; Piecewise Interpolation
13710.0 <= x < 13740.0; y_457   =     -6329.00 +      0.466667x; Piecewise Interpolation
13740.0 <= x < 13770.0; y_458   =      -833.00 +      0.066667x; Piecewise Interpolation
13770.0 <= x < 13800.0; y_459   =      2380.00 +     -0.166667x; Piecewise Interpolation
13800.0 <= x < 13830.0; y_460   =     -3140.00 +      0.233333x; Piecewise Interpolation
13830.0 <= x < 13860.0; y_461   =      1470.00 +     -0.100000x; Piecewise Interpolation
13860.0 <= x < 13890.0; y_462   =      -840.00 +      0.066667x; Piecewise Interpolation
13890.0 <= x < 13920.0; y_463   =      1012.00 +     -0.066667x; Piecewise Interpolation
13920.0 <= x < 13950.0; y_464   =     -1772.00 +      0.133333x; Piecewise Interpolation
13950.0 <= x < 13980.0; y_465   =      2878.00 +     -0.200000x; Piecewise Interpolation
13980.0 <= x < 14010.0; y_466   =      7072.00 +     -0.500000x; Piecewise Interpolation
14010.0 <= x < 14040.0; y_467   =     -2268.00 +      0.166667x; Piecewise Interpolation
14040.0 <= x < 14070.0; y_468   =      3816.00 +     -0.266667x; Piecewise Interpolation
14070.0 <= x < 14100.0; y_469   =     -4157.00 +      0.300000x; Piecewise Interpolation
14100.0 <= x < 14130.0; y_470   =     -6037.00 +      0.433333x; Piecewise Interpolation
14130.0 <= x < 14160.0; y_471   =      1970.00 +     -0.133333x; Piecewise Interpolation
14160.0 <= x < 14190.0; y_472   =       554.00 +     -0.033333x; Piecewise Interpolation
14190.0 <= x < 14220.0; y_473   =      4811.00 +     -0.333333x; Piecewise Interpolation
14220.0 <= x < 14250.0; y_474   =     -7039.00 +      0.500000x; Piecewise Interpolation
14250.0 <= x < 14280.0; y_475   =      2936.00 +     -0.200000x; Piecewise Interpolation
14280.0 <= x < 14310.0; y_476   =     -3728.00 +      0.266667x; Piecewise Interpolation
14310.0 <= x < 14340.0; y_477   =        88.00 +      0.000000x; Piecewise Interpolation
14340.0 <= x < 14370.0; y_478   =        88.00 +      0.000000x; Piecewise Interpolation
14370.0 <= x < 14400.0; y_479   =      3920.00 +     -0.266667x; Piecewise Interpolation
14400.0 <= x < 14430.0; y_480   =      -880.00 +      0.066667x; Piecewise Interpolation
14430.0 <= x < 14460.0; y_481   =     -2804.00 +      0.200000x; Piecewise Interpolation
14460.0 <= x < 14490.0; y_482   =      9246.00 +     -0.633333x; Piecewise Interpolation
14490.0 <= x < 14520.0; y_483   =     -1863.00 +      0.133333x; Piecewise Interpolation
14520.0 <= x < 14550.0; y_484   =      2009.00 +     -0.133333x; Piecewise Interpolation
14550.0 <= x < 14580.0; y_485   =    -11086.00 +      0.766667x; Piecewise Interpolation
14580.0 <= x < 14610.0; y_486   =      2036.00 +     -0.133333x; Piecewise Interpolation
14610.0 <= x < 14640.0; y_487   =      9341.00 +     -0.633333x; Piecewise Interpolation
14640.0 <= x < 14670.0; y_488   =      -419.00 +      0.033333x; Piecewise Interpolation
14670.0 <= x < 14700.0; y_489   =     -9221.00 +      0.633333x; Piecewise Interpolation
14700.0 <= x < 14730.0; y_490   =      1069.00 +     -0.066667x; Piecewise Interpolation
14730.0 <= x < 14760.0; y_491   =     -1877.00 +      0.133333x; Piecewise Interpolation
14760.0 <= x < 14790.0; y_492   =      6979.00 +     -0.466667x; Piecewise Interpolation
14790.0 <= x < 14820.0; y_493   =      5993.00 +     -0.400000x; Piecewise Interpolation
14820.0 <= x < 14850.0; y_494   =     -1911.00 +      0.133333x; Piecewise Interpolation
14850.0 <= x < 14880.0; y_495   =       564.00 +     -0.033333x; Piecewise Interpolation
14880.0 <= x < 14910.0; y_496   =    -10348.00 +      0.700000x; Piecewise Interpolation
14910.0 <= x < 14940.0; y_497   =      -408.00 +      0.033333x; Piecewise Interpolation
14940.0 <= x < 14970.0; y_498   =        90.00 +      0.000000x; Piecewise Interpolation
14970.0 <= x < 15000.0; y_499   =     12066.00 +     -0.800000x; Piecewise Interpolation
15000.0 <= x < 15030.0; y_500   =     -8934.00 +      0.600000x; Piecewise Interpolation
15030.0 <= x < 15060.0; y_501   =     -2922.00 +      0.200000x; Piecewise Interpolation
15060.0 <= x < 15090.0; y_502   =     10632.00 +     -0.700000x; Piecewise Interpolation
15090.0 <= x < 15120.0; y_503   =    -10494.00 +      0.700000x; Piecewise Interpolation
15120.0 <= x < 15150.0; y_504   =     13194.00 +     -0.866667x; Piecewise Interpolation
15150.0 <= x < 15180.0; y_505   =      -441.00 +      0.033333x; Piecewise Interpolation
15180.0 <= x < 15210.0; y_506   =     -2465.00 +      0.166667x; Piecewise Interpolation
15210.0 <= x < 15240.0; y_507   =     -9056.00 +      0.600000x; Piecewise Interpolation
15240.0 <= x < 15270.0; y_508   =      9232.00 +     -0.600000x; Piecewise Interpolation
15270.0 <= x < 15300.0; y_509   =     -2984.00 +      0.200000x; Piecewise Interpolation
15300.0 <= x < 15330.0; y_510   =      3136.00 +     -0.200000x; Piecewise Interpolation
15330.0 <= x < 15360.0; y_511   =     -8617.00 +      0.566667x; Piecewise Interpolation
15360.0 <= x < 15390.0; y_512   =      9303.00 +     -0.600000x; Piecewise Interpolation
15390.0 <= x < 15420.0; y_513   =        69.00 +      0.000000x; Piecewise Interpolation
15420.0 <= x < 15450.0; y_514   =        69.00 +      0.000000x; Piecewise Interpolation
15450.0 <= x < 15480.0; y_515   =      3159.00 +     -0.200000x; Piecewise Interpolation
15480.0 <= x < 15510.0; y_516   =     -2517.00 +      0.166667x; Piecewise Interpolation
15510.0 <= x < 15540.0; y_517   =      -449.00 +      0.033333x; Piecewise Interpolation
15540.0 <= x < 15570.0; y_518   =    -10809.00 +      0.700000x; Piecewise Interpolation
15570.0 <= x < 15600.0; y_519   =     11508.00 +     -0.733333x; Piecewise Interpolation
15600.0 <= x < 15630.0; y_520   =     -1492.00 +      0.100000x; Piecewise Interpolation
15630.0 <= x < 15660.0; y_521   =      2676.00 +     -0.166667x; Piecewise Interpolation
15660.0 <= x < 15690.0; y_522   =      -978.00 +      0.066667x; Piecewise Interpolation
15690.0 <= x < 15720.0; y_523   =      2160.00 +     -0.133333x; Piecewise Interpolation
15720.0 <= x < 15750.0; y_524   =    -11464.00 +      0.733333x; Piecewise Interpolation
15750.0 <= x < 15780.0; y_525   =      1136.00 +     -0.066667x; Piecewise Interpolation
15780.0 <= x < 15810.0; y_526   =     14286.00 +     -0.900000x; Piecewise Interpolation
15810.0 <= x < 15840.0; y_527   =     -3105.00 +      0.200000x; Piecewise Interpolation
15840.0 <= x < 15870.0; y_528   =     -2577.00 +      0.166667x; Piecewise Interpolation
15870.0 <= x < 15900.0; y_529   =     -8925.00 +      0.566667x; Piecewise Interpolation
15900.0 <= x < 15930.0; y_530   =      2205.00 +     -0.133333x; Piecewise Interpolation
15930.0 <= x < 15960.0; y_531   =      7515.00 +     -0.466667x; Piecewise Interpolation
15960.0 <= x < 15990.0; y_532   =     -2061.00 +      0.133333x; Piecewise Interpolation
15990.0 <= x < 16020.0; y_533   =     -9523.00 +      0.600000x; Piecewise Interpolation
16020.0 <= x < 16050.0; y_534   =      7565.00 +     -0.466667x; Piecewise Interpolation
16050.0 <= x < 16080.0; y_535   =      4355.00 +     -0.266667x; Piecewise Interpolation
16080.0 <= x < 16110.0; y_536   =    -11725.00 +      0.733333x; Piecewise Interpolation
16110.0 <= x < 16140.0; y_537   =     10829.00 +     -0.666667x; Piecewise Interpolation
16140.0 <= x < 16170.0; y_538   =      -469.00 +      0.033333x; Piecewise Interpolation
16170.0 <= x < 16200.0; y_539   =      1148.00 +     -0.066667x; Piecewise Interpolation
16200.0 <= x < 16230.0; y_540   =     -9652.00 +      0.600000x; Piecewise Interpolation
16230.0 <= x < 16260.0; y_541   =      8742.00 +     -0.533333x; Piecewise Interpolation
16260.0 <= x < 16290.0; y_542   =     -1014.00 +      0.066667x; Piecewise Interpolation
16290.0 <= x < 16320.0; y_543   =     -8073.00 +      0.500000x; Piecewise Interpolation
16320.0 <= x < 16350.0; y_544   =        87.00 +      0.000000x; Piecewise Interpolation
16350.0 <= x < 16380.0; y_545   =     -1003.00 +      0.066667x; Piecewise Interpolation
16380.0 <= x < 16410.0; y_546   =      8825.00 +     -0.533333x; Piecewise Interpolation
16410.0 <= x < 16440.0; y_547   =      2261.00 +     -0.133333x; Piecewise Interpolation
16440.0 <= x < 16470.0; y_548   =     -9247.00 +      0.566667x; Piecewise Interpolation
16470.0 <= x < 16500.0; y_549   =      9419.00 +     -0.566667x; Piecewise Interpolation
16500.0 <= x < 16530.0; y_550   =     -1031.00 +      0.066667x; Piecewise Interpolation
16530.0 <= x < 16560.0; y_551   =      1173.00 +     -0.066667x; Piecewise Interpolation
16560.0 <= x < 16590.0; y_552   =     -1035.00 +      0.066667x; Piecewise Interpolation
16590.0 <= x < 16620.0; y_553   =      1177.00 +     -0.066667x; Piecewise Interpolation
16620.0 <= x < 16650.0; y_554   =     -7687.00 +      0.466667x; Piecewise Interpolation
16650.0 <= x < 16680.0; y_555   =     10628.00 +     -0.633333x; Piecewise Interpolation
16680.0 <= x < 16710.0; y_556   =     -3272.00 +      0.200000x; Piecewise Interpolation
16710.0 <= x < 16740.0; y_557   =        70.00 +      0.000000x; Piecewise Interpolation
16740.0 <= x < 16770.0; y_558   =        70.00 +      0.000000x; Piecewise Interpolation
16770.0 <= x < 16800.0; y_559   =      1188.00 +     -0.066667x; Piecewise Interpolation
16800.0 <= x < 16830.0; y_560   =     -2172.00 +      0.133333x; Piecewise Interpolation
16830.0 <= x < 16860.0; y_561   =     -7782.00 +      0.466667x; Piecewise Interpolation
16860.0 <= x < 16890.0; y_562   =     10202.00 +     -0.600000x; Piecewise Interpolation
16890.0 <= x < 16920.0; y_563   =    -11192.00 +      0.666667x; Piecewise Interpolation
16920.0 <= x < 16950.0; y_564   =      9676.00 +     -0.566667x; Piecewise Interpolation
16950.0 <= x < 16980.0; y_565   =     -8969.00 +      0.533333x; Piecewise Interpolation
16980.0 <= x < 17010.0; y_566   =      1219.00 +     -0.066667x; Piecewise Interpolation
17010.0 <= x < 17040.0; y_567   =     -1616.00 +      0.100000x; Piecewise Interpolation
17040.0 <= x < 17070.0; y_568   =     10312.00 +     -0.600000x; Piecewise Interpolation
17070.0 <= x < 17100.0; y_569   =      1777.00 +     -0.100000x; Piecewise Interpolation
17100.0 <= x < 17130.0; y_570   =     -9053.00 +      0.533333x; Piecewise Interpolation
17130.0 <= x < 17160.0; y_571   =      8077.00 +     -0.466667x; Piecewise Interpolation
17160.0 <= x < 17190.0; y_572   =      -503.00 +      0.033333x; Piecewise Interpolation
17190.0 <= x < 17220.0; y_573   =     -8525.00 +      0.500000x; Piecewise Interpolation
17220.0 <= x < 17250.0; y_574   =       659.00 +     -0.033333x; Piecewise Interpolation
17250.0 <= x < 17280.0; y_575   =     10434.00 +     -0.600000x; Piecewise Interpolation
17280.0 <= x < 17310.0; y_576   =     -3966.00 +      0.233333x; Piecewise Interpolation
17310.0 <= x < 17340.0; y_577   =      2958.00 +     -0.166667x; Piecewise Interpolation
17340.0 <= x < 17370.0; y_578   =     -7446.00 +      0.433333x; Piecewise Interpolation
17370.0 <= x < 17400.0; y_579   =      8187.00 +     -0.466667x; Piecewise Interpolation
17400.0 <= x < 17430.0; y_580   =     -3413.00 +      0.200000x; Piecewise Interpolation
17430.0 <= x < 17460.0; y_581   =     -9804.00 +      0.566667x; Piecewise Interpolation
17460.0 <= x < 17490.0; y_582   =      4746.00 +     -0.266667x; Piecewise Interpolation
17490.0 <= x < 17520.0; y_583   =      9410.00 +     -0.533333x; Piecewise Interpolation
17520.0 <= x < 17550.0; y_584   =     -4606.00 +      0.266667x; Piecewise Interpolation
17550.0 <= x < 17580.0; y_585   =     -6361.00 +      0.366667x; Piecewise Interpolation
17580.0 <= x < 17610.0; y_586   =     -2259.00 +      0.133333x; Piecewise Interpolation
17610.0 <= x < 17640.0; y_587   =      3024.00 +     -0.166667x; Piecewise Interpolation
17640.0 <= x < 17670.0; y_588   =      8904.00 +     -0.500000x; Piecewise Interpolation
17670.0 <= x < 17700.0; y_589   =    -11122.00 +      0.633333x; Piecewise Interpolation
17700.0 <= x < 17730.0; y_590   =       678.00 +     -0.033333x; Piecewise Interpolation
17730.0 <= x < 17760.0; y_591   =     10134.00 +     -0.566667x; Piecewise Interpolation
17760.0 <= x < 17790.0; y_592   =     -9402.00 +      0.533333x; Piecewise Interpolation
17790.0 <= x < 17820.0; y_593   =      8981.00 +     -0.500000x; Piecewise Interpolation
17820.0 <= x < 17850.0; y_594   =      1853.00 +     -0.100000x; Piecewise Interpolation
17850.0 <= x < 17880.0; y_595   =     -1717.00 +      0.100000x; Piecewise Interpolation
17880.0 <= x < 17910.0; y_596   =      6627.00 +     -0.366667x; Piecewise Interpolation
17910.0 <= x < 17940.0; y_597   =    -10686.00 +      0.600000x; Piecewise Interpolation
17940.0 <= x < 17970.0; y_598   =      6058.00 +     -0.333333x; Piecewise Interpolation
17970.0 <= x < 18000.0; y_599   =    -10115.00 +      0.566667x; Piecewise Interpolation
18000.0 <= x < 18030.0; y_600   =     -1715.00 +      0.100000x; Piecewise Interpolation
18030.0 <= x < 18060.0; y_601   =     10906.00 +     -0.600000x; Piecewise Interpolation
18060.0 <= x < 18090.0; y_602   =     -8960.00 +      0.500000x; Piecewise Interpolation
18090.0 <= x < 18120.0; y_603   =      8527.00 +     -0.466667x; Piecewise Interpolation
18120.0 <= x < 18150.0; y_604   =    -10197.00 +      0.566667x; Piecewise Interpolation
18150.0 <= x < 18180.0; y_605   =      -517.00 +      0.033333x; Piecewise Interpolation
18180.0 <= x < 18210.0; y_606   =      1907.00 +     -0.100000x; Piecewise Interpolation
18210.0 <= x < 18240.0; y_607   =        86.00 +      0.000000x; Piecewise Interpolation
18240.0 <= x < 18270.0; y_608   =     11030.00 +     -0.600000x; Piecewise Interpolation
18270.0 <= x < 18300.0; y_609   =     17120.00 +     -0.933333x; Piecewise Interpolation
