0       <= x <     630; y_0     =        77.06 +     -0.000601x; Linear Approximation
0.0     <= x <    30.0; y_0     =        80.00 +     -0.500000x; Piecewise Interpolation
30.0    <= x <    60.0; y_1     =        67.00 +     -0.066667x; Piecewise Interpolation
60.0    <= x <    90.0; y_2     =        19.00 +      0.733333x; Piecewise Interpolation
90.0    <= x <   120.0; y_3     =       103.00 +     -0.200000x; Piecewise Interpolation
120.0   <= x <   150.0; y_4     =        59.00 +      0.166667x; Piecewise Interpolation
150.0   <= x <   180.0; y_5     =       119.00 +     -0.233333x; Piecewise Interpolation
180.0   <= x <   210.0; y_6     =        59.00 +      0.100000x; Piecewise Interpolation
210.0   <= x <   240.0; y_7     =       185.00 +     -0.500000x; Piecewise Interpolation
240.0   <= x <   270.0; y_8     =       -71.00 +      0.566667x; Piecewise Interpolation
270.0   <= x <   300.0; y_9     =        91.00 +     -0.033333x; Piecewise Interpolation
300.0   <= x <   330.0; y_10    =        61.00 +      0.066667x; Piecewise Interpolation
330.0   <= x <   360.0; y_11    =       149.00 +     -0.200000x; Piecewise Interpolation
360.0   <= x <   390.0; y_12    =       221.00 +     -0.400000x; Piecewise Interpolation
390.0   <= x <   420.0; y_13    =        13.00 +      0.133333x; Piecewise Interpolation
420.0   <= x <   450.0; y_14    =      -155.00 +      0.533333x; Piecewise Interpolation
450.0   <= x <   480.0; y_15    =       100.00 +     -0.033333x; Piecewise Interpolation
480.0   <= x <   510.0; y_16    =       388.00 +     -0.633333x; Piecewise Interpolation
510.0   <= x <   540.0; y_17    =        48.00 +      0.033333x; Piecewise Interpolation
540.0   <= x <   570.0; y_18    =       102.00 +     -0.066667x; Piecewise Interpolation
570.0   <= x <   600.0; y_19    =         7.00 +      0.100000x; Piecewise Interpolation
600.0   <= x <   630.0; y_20    =        67.00 +      0.000000x; Piecewise Interpolation
630.0   <= x <   660.0; y_21    =        46.00 +      0.033333x; Piecewise Interpolation
660.0   <= x <   690.0; y_22    =      -174.00 +      0.366667x; Piecewise Interpolation
690.0   <= x <   720.0; y_23    =       424.00 +     -0.500000x; Piecewise Interpolation
720.0   <= x <   750.0; y_24    =      -440.00 +      0.700000x; Piecewise Interpolation
750.0   <= x <   780.0; y_25    =       510.00 +     -0.566667x; Piecewise Interpolation
780.0   <= x <   810.0; y_26    =      -270.00 +      0.433333x; Piecewise Interpolation
810.0   <= x <   840.0; y_27    =       405.00 +     -0.400000x; Piecewise Interpolation
840.0   <= x <   870.0; y_28    =      -295.00 +      0.433333x; Piecewise Interpolation
870.0   <= x <   900.0; y_29    =       169.00 +     -0.100000x; Piecewise Interpolation
900.0   <= x <   930.0; y_30    =       109.00 +     -0.033333x; Piecewise Interpolation
930.0   <= x <   960.0; y_31    =       109.00 +     -0.033333x; Piecewise Interpolation
960.0   <= x <   990.0; y_32    =       525.00 +     -0.466667x; Piecewise Interpolation
990.0   <= x <  1020.0; y_33    =      -366.00 +      0.433333x; Piecewise Interpolation
1020.0  <= x <  1050.0; y_34    =       450.00 +     -0.366667x; Piecewise Interpolation
1050.0  <= x <  1080.0; y_35    =      -285.00 +      0.333333x; Piecewise Interpolation
1080.0  <= x <  1110.0; y_36    =       399.00 +     -0.300000x; Piecewise Interpolation
1110.0  <= x <  1140.0; y_37    =        -8.00 +      0.066667x; Piecewise Interpolation
1140.0  <= x <  1170.0; y_38    =      -236.00 +      0.266667x; Piecewise Interpolation
